corrupted file!
s5p_l2_ch4_0017_03747.nc 2018-07-04 13:12:49
s5p_l2_ch4_0017_03748.nc 2018-07-04 14:48:13
s5p_l2_ch4_0017_03760.nc 2018-07-05 11:12:17
s5p_l2_ch4_0017_03761.nc 2018-07-05 12:53:47
s5p_l2_ch4_0017_03762.nc 2018-07-05 14:35:17
s5p_l2_ch4_0017_03774.nc 2018-07-06 10:53:13
s5p_l2_ch4_0017_03775.nc 2018-07-06 12:34:44
s5p_l2_ch4_0017_03776.nc 2018-07-06 14:16:13
s5p_l2_ch4_0017_03788.nc 2018-07-07 10:34:11
s5p_l2_ch4_0017_03789.nc 2018-07-07 12:15:40
s5p_l2_ch4_0017_03790.nc 2018-07-07 13:57:10
s5p_l2_ch4_0017_03802.nc 2018-07-08 10:15:08
s5p_l2_ch4_0017_03803.nc 2018-07-08 11:56:37
s5p_l2_ch4_0017_03804.nc 2018-07-08 13:38:07
s5p_l2_ch4_0017_03817.nc 2018-07-09 11:37:34
s5p_l2_ch4_0017_03831.nc 2018-07-10 11:18:30
s5p_l2_ch4_0017_03832.nc 2018-07-10 13:00:00
s5p_l2_ch4_0017_03833.nc 2018-07-10 14:41:30
s5p_l2_ch4_0017_03845.nc 2018-07-11 10:59:27
s5p_l2_ch4_0017_03846.nc 2018-07-11 12:40:57
s5p_l2_ch4_0017_03847.nc 2018-07-11 14:22:26
s5p_l2_ch4_0017_03859.nc 2018-07-12 10:40:23
s5p_l2_ch4_0017_03860.nc 2018-07-12 12:21:53
corrupted file!
s5p_l2_ch4_0017_03874.nc 2018-07-13 12:02:49
s5p_l2_ch4_0017_03875.nc 2018-07-13 13:44:19
s5p_l2_ch4_0017_03887.nc 2018-07-14 10:02:16
s5p_l2_ch4_0017_03888.nc 2018-07-14 11:43:45
s5p_l2_ch4_0017_03889.nc 2018-07-14 13:25:15
s5p_l2_ch4_0017_03902.nc 2018-07-15 11:24:41
s5p_l2_ch4_0017_03903.nc 2018-07-15 13:06:11
s5p_l2_ch4_0017_03904.nc 2018-07-15 14:47:41
s5p_l2_ch4_0017_03916.nc 2018-07-16 11:05:37
s5p_l2_ch4_0017_03917.nc 2018-07-16 12:47:07
s5p_l2_ch4_0017_03918.nc 2018-07-16 14:28:37
s5p_l2_ch4_0017_03930.nc 2018-07-17 10:46:33
s5p_l2_ch4_0017_03931.nc 2018-07-17 12:28:03
